STATE,NAME,ID,,,,,,,
AK,PRUDHOE BAY,PAUD,,,,,,,
AK,PUNTILLA LAKE,PAPT,,,,,,,
AK,QUINHAGAK,PAQH,,,,,,,
AK,REG DOG,PADG,,,,,,,
AK,REG DOG,PARD,,,,,,,
AK,RUBY,PARY,,,,,,,
AK,RUSSIAN MISSION,PARS,,,,,,,
AK,SAINT MARYS,PASM,,,,,,,
AK,SAND POINT,PASD,,,,,,,
AK,SAVOONGA,PASA,,,,,,,
AK,SCAMMON BAY,PACM,,,,,,,
AK,SELAWIK,PASK,,,,,,,
AK,SELDOVIA,PASO,,,,,,,
AK,SEWARD,PAWD,,,,,,,
AK,SHAGELUK,PAHX,,,,,,,
AK,SHAKTOOLIK,PFSH,,,,,,,
AK,SHISHMAREF,PASH,,,,,,,
AK,SHUNGNAK,PAGH,,,,,,,
AK,SITKA,PASI,,,,,,,
AK,SKAGWAY,PAGY,,,,,,,
AK,SKWENTNA,PASW,,,,,,,
AK,SLANA,PADT,,,,,,,
AK,SLEETMUTE,PASL,,,,,,,
AK,SNOWSHOE LAKE,PALK,,,,,,,
AK,SOLDOTNA,PASX,,,,,,,
AK,SOUTH NAKNEK,PFWS,,,,,,,
AK,SPARREVOHN,PASV,,,,,,,
AK,ST GEORGE,PAPB,,,,,,,
AK,ST MICHAEL,PAMK,,,,,,,
AK,STONY RIVER LAND,PAER,,,,,,,
AK,ST PAUL ISLAND,PASN,,,,,,,
AK,SUTTON,PAJV,,,,,,,
AK,TAHNETNA PASS LO,PASP,,,,,,,
AK,TALKEETNA,PATK,,,,,,,
AK,TANANA,PATA,,,,,,,
AK,TATALINA AFS,PATL,,,,,,,
AK,TELLER,PATE,,,,,,,
AK,TIN CITY AFS,PATC,,,,,,,
AK,TOGIAK,PATG,,,,,,,
AK,TOKSOOK BAY,PAOO,,,,,,,
AK,UMIAT,PAUM,,,,,,,
AK,UNALAKLEET,PAUN,,,,,,,
AK,UTQIAGVIK,PABR,,,,,,,
AK,VALDEZ,PAVD,,,,,,,
AK,VALDEZ WSO,PAVW,,,,,,,
AK,WAINWRIGHT,PAWI,,,,,,,
AK,WALES,PAIW,,,,,,,
AK,WASILLA,PAWS,,,,,,,
AK,WHITE MOUNTAIN,PAWM,,,,,,,
AK,WHITTIER,PAWR,,,,,,,
AK,WILLOW,PAUO,,,,,,,
AK,WOLVERINE ROAD,PAIZ,,,,,,,
AK,WRANGELL,PAWG,,,,,,,
AK,YAKUTAT,PAYA,,,,,,,
AL,ALABASTER,KEET,,,,,,,
AL,ALBERTVILLE MUNI,K8A0,,,,,,,
AL,ALEXANDER/RUSSEL,KALX,,,,,,,
AL,ANDALUSIA/OPP AR,K79J,,,,,,,
AL,ANNISTON,KANB,,,,,,,
AL,AUBURN OPELIKA A,KAUO,,,,,,,
AL,AUBURN UNIV. (AM,KAUB,,,,,,,
AL,BESSEMER,KEKY,,,,,,,
AL,BIRMINGHAM,KBHM,,,,,,,
AL,CENTREVILLE WSM,K0A8,,,,,,,
AL,COURTLAND,K9A4,,,,,,,
AL,CULLMAN/FOLSOM F,K3A1,,,,,,,
AL,CULLMAN/FOLSOM F,KCMD,,,,,,,
AL,DECATUR,KDCU,,,,,,,
AL,DEMOPOLIS,KDYA,,,,,,,
AL,DOTHAN,KDHN,,,,,,,
AL,ENTERPRISE,KEDN,,,,,,,
AL,EUFAULA,KEUF,,,,,,,
AL,EVERGREEN,KGZH,,,,,,,
AL,FAIRHOPE,KCQF,,,,,,,
AL,FLORALA MUNI,K0J4,,,,,,,
AL,FT PAYNE/ISBELL,K4A9,,,,,,,
AL,FT RUCKER/HANCHE,KHEY,,,,,,,
AL,FT RUCKER/SHELL,KSXS,,,,,,,
AL,GADSDEN MUNI,KGAD,,,,,,,
AL,GREENVILLE,KPRN,,,,,,,
AL,GULF SHORES,KJKA,,,,,,,
AL,HALEYVILLE,K1M4,,,,,,,
AL,HUNTSVILLE,KHSV,,,,,,,
AL,HUNTSVILLE/MADIS,KMDQ,,,,,,,
AL,JASPER/WALKER,KJFX,,,,,,,
AL,LOWE AHP/FT. RUC,KLOR,,,,,,,
AL,MARION,KA08,,,,,,,
AL,MAXWELL AFB/MGM,KMXF,,,,,,,
AL,MOBILE/BATES,KMOB,,,,,,,
AL,MOBILE/BROOKLEY,KBFM,,,,,,,
AL,MONTGOMERY,KMGM,,,,,,,
AL,MUSCLE SHOAL,KMSL,,,,,,,
AL,OZARK/CAIRNS AAF,KOZR,,,,,,,
AL,PELL CITY,KPLR,,,,,,,
AL,PHI OIL PLAT,KRAM,,,,,,,
AL,PRATTVILLE,K1A9,,,,,,,
AL,REDSTONE ARSENAL,KHUA,,,,,,,
AL,SCOTTSBORO,K4A6,,,,,,,
AL,SELMA/CRAIG FLD,KSEM,,,,,,,
AL,SYLACAUGA,KSCD,,,,,,,
AL,TALLADEGA,KASN,,,,,,,
AL,TROY,KTOI,,,,,,,
AL,TUSCALOOSA,KTCL,,,,,,,
AL,VIOSCA KNOLL768,KVOA,,,,,,,
AR,ARKADELPHIA,KADF,,,,,,,
AR,BATESVILLE,KBVX,,,,,,,
AR,BENTON,KSUZ,,,,,,,
AR,BENTONVILLE,KH00,,,,,,,
AR,BENTONVILLE,KVBT,,,,,,,
AR,BENTONVILLE (NW),KXNA,,,,,,,
AR,BLYTHEVILLE,KBYH,,,,,,,
AR,BLYTHEVILLE,KHKA,,,,,,,
AR,CAMDEN,KCDH,,,,,,,
AR,CANTRELL,KCXW,,,,,,,
AR,CLINTON MUNI,KCCA,,,,,,,
AR,COLDWATER,K3K8,,,,,,,
AR,CORNING,K4M9,,,,,,,
AR,DE QUEEN,KDEQ,,,,,,,
AR,EL DORADO,KELD,,,,,,,
AR,FAYETTEVILLE,KFYV,,,,,,,
AR,FLIPPIN (AWOS),KFLP,,,,,,,
AR,FORT SMITH,KFSM,,,,,,,
AR,HARRISON,KHRO,,,,,,,
AR,HOT SPRINGS,KHOT,,,,,,,
AR,JONESBORO,KJBR,,,,,,,
AR,LITTLE ROCK AFB,KLRF,,,,,,,
AR,LITTLE ROCK,KLIT,,,,,,,
AR,MENA INTERMTN,KMEZ,,,,,,,
AR,MONTICELLO,KLLQ,,,,,,,
AR,MOUNTAIN HOME,KBPK,,,,,,,
AR,MOUNT IDA,KMWT,,,,,,,
AR,NEWPORT,KM19,,,,,,,
AR,N LITTLE ROCK,KORK,,,,,,,
AR,N. LITTLE ROCK,KLZK,,,,,,,
AR,PINE BLUFF/GRIDR,KPBF,,,,,,,
AR,ROGERS,KROG,,,,,,,
AR,RUSSELLVILLE,KRUE,,,,,,,
AR,SEARCY,KSRC,,,,,,,
AR,SILOAM SPRING,KSLG,,,,,,,
AR,SPRINGDALE MUNI,KASG,,,,,,,
AR,STUTTGART,KSGT,,,,,,,
AR,TEXARKANA,KTXK,,,,,,,
AR,WALNUT RIDGE,KARG,,,,,,,
AR,W MEMPHIS MUNI,KAWM,,,,,,,
AZ,PHOENIX/SKY HRBR,KPHX,,,,,,,
AZ,TUCSON,KTUS,,,,,,,
AZ,AK-CHIN,KA39,,,,,,,
AZ,BUCKEYE,KBXK,,,,,,,
AZ,BULLHEAD CITY,KIFP,,,,,,,
AZ,CASA GRANDA,KCGZ,,,,,,,
AZ,CHANDLER/MESA,KIWA,,,,,,,
AZ,CHANDLER,KCHD,,,,,,,
AZ,COLORADO CITY,KAZC,,,,,,,
AZ,COOLIDGE MUNI,KP08,,,,,,,
AZ,DAVIS/TUCSON,KDMA,,,,,,,
AZ,DOUGLAS BISBEE,KDUG,,,,,,,
AZ,FLAGSTAFF,KFLG,,,,,,,
AZ,FORT HUACHUCA,KFHU,,,,,,,
AZ,GILA BEND (AAF),KGXF,,,,,,,
AZ,GLENDALE,KGEU,,,,,,,
AZ,LAGUNA (AAF),KLGF,,,,,,,
AZ,LUKE AFB/GLENDAL,KLUF,,,,,,,
AZ,GOODYEAR MUNICIP,KGYR,,,,,,,
AZ,GRAND CANYON,KGCN,,,,,,,
AZ,GRAND CANYON/VAL,K40G,,,,,,,
AZ,KINGMAN,KIGM,,,,,,,
AZ,LAKE HAVASU CITY,KHII,,,,,,,
AZ,MESA/FALCON FLD,KFFZ,,,,,,,
AZ,NOGALES,KOLS,,,,,,,
AZ,PAGE,KPGA,,,,,,,
AZ,PAYSON,KPAN,,,,,,,
AZ,PHOENIX/DEER VLY,KDVT,,,,,,,
AZ,PIONEER AIRFIELD,KALK,,,,,,,
AZ,PRESCOTT,KPRC,,,,,,,
AZ,SAFFORD,KSAD,,,,,,,
AZ,SCOTTSDALE,KSDL,,,,,,,
AZ,SEDONA,KSEZ,,,,,,,
AZ,SHOW LOW MUNICIP,KSOW,,,,,,,
AZ,SPRINGERVILLE,KJTC,,,,,,,
AZ,ST. JOHNS,KSJN,,,,,,,
AZ,TAYLOR,KTYL,,,,,,,
AZ,TUCSON/MARANA,KAVQ,,,,,,,
AZ,TUCSON/RYAN FLD,KRYN,,,,,,,
AZ,WILLIAMS CLARK,KCMR,,,,,,,
AZ,WINDOW ROCK,KRQE,,,,,,,
AZ,WINSLOW,KINW,,,,,,,
AZ,YUMA INTL,KYUM,,,,,,,
AZ,YUMA AUX,KNOZ,,,,,,,
AZ,YUMA MCAS,KNYL,,,,,,,
CA,ALAMEDA NAS,KNGZ,,,,,,,
CA,ALTURAS,KAAT,,,,,,,
CA,APPLE VALLEY,KAPV,,,,,,,
CA,ARCATA/EUREKA,KACV,,,,,,,
CA,AUBURN MUNI,KAUN,,,,,,,
CA,AVALON,KAVX,,,,,,,
CA,BAKERSFIELD,KBFL,,,,,,,
CA,BEALE AFB/MARYSV,KBAB,,,,,,,
CA,BEAUMONT,KBUO,,,,,,,
CA,BICYCLE LAKE,KBYS,,,,,,,
CA,BIG BEAR CITY,KL35,,,,,,,
CA,BISHOP,KBIH,,,,,,,
CA,BLYTHE,KBLH,,,,,,,
CA,BORREGO SPRINGS,KL08,,,,,,,
CA,BRIDGEPORT,KO57,,,,,,,
CA,BRIDGEPORT(MCMWT,KBAN,,,,,,,
CA,BURBANK,KBUR,,,,,,,
CA,BURNEY,KBNY,,,,,,,
CA,BYRON,KC83,,,,,,,
CA,CALEXICO INTL,KCXL,,,,,,,
CA,CAMARILLO,KCMA,,,,,,,
CA,CAMPO,KCZZ,,,,,,,
CA,CAMP PENDLETON,KNFG,,,,,,,
CA,CARLSBAD,KCRQ,,,,,,,
CA,CEDARVILLE,KO59,,,,,,,
CA,CHICO MUNICIPAL,KCIC,,,,,,,
CA,CHINA LAKE (NAF),KNID,,,,,,,
CA,CHINO,KCNO,,,,,,,
CA,COLUMBIA,KO22,,,,,,,
CA,CONCORD,KCCR,,,,,,,
CA,CORONA MUNI,KAJO,,,,,,,
CA,COSTA MESA,KSNA,,,,,,,
CA,CRESCENT CITY,KCEC,,,,,,,
CA,DAGGETT,KDAG,,,,,,,
CA,DAVIS YOLO CNTY,KDWA,,,,,,,
CA,DAVIS,KEDU,,,,,,,
CA,DELANO,KDLO,,,,,,,
CA,EDWARDS AFB,KEDW,,,,,,,
CA,EDWARDS N-AUX,K9L2,,,,,,,
CA,EL CENTRO NAF,KNJK,,,,,,,
CA,EL MONTE,KEMT,,,,,,,
CA,EMIGRANT GAP,KBLU,,,,,,,
CA,EUREKA/MURRAY,KEKA,,,,,,,
CA,FALLBROOK AIRPAR,KL18,,,,,,,
CA,FORTUNA,KFOT,,,,,,,
CA,FRESNO CHANDLER,KFCH,,,,,,,
CA,FRESNO,KFAT,,,,,,,
CA,FULLERTON,KFUL,,,,,,,
CA,GRASS VALLEY,KGOO,,,,,,,
CA,HALF MOON BAY,KHAF,,,,,,,
CA,HANFORD,KHJO,,,,,,,
CA,HANFORD,KO18,,,,,,,
CA,HAWTHORNE,KHHR,,,,,,,
CA,HAYWARD,KHWD,,,,,,,
CA,HEALDSBURG,KHES,,,,,,,
CA,HEMET,KHMT,,,,,,,
CA,HOLLISTER MUNI,KCVH,,,,,,,
CA,HUNTER LIGGET,KHGT,,,,,,,
CA,IMPERIAL BEACH,KNRS,,,,,,,
CA,IMPERIAL,KIPL,,,,,,,
CA,INYOKERN,KIYK,,,,,,,
CA,JACKSON,KJAQ,,,,,,,
CA,LANCASTER/FOX,KWJF,,,,,,,
CA,LA VERNE/BRACKET,KPOC,,,,,,,
CA,LA / WHITEMAN,KWHP,,,,,,,
CA,LEMOORE NAS/REEV,KNLC,,,,,,,
CA,LINCOLN,KLHM,,,,,,,
CA,LITTLE RIVER,KLLR,,,,,,,
CA,LIVERMORE,KLVK,,,,,,,
CA,LOMPOC,KLPC,,,,,,,
CA,LONG BEACH,KLGB,,,,,,,
CA,LOS ALAMITOS AAF,KSLI,,,,,,,
CA,LOS ANGELES,KCQT,,,,,,,
CA,LOS ANGELES,KLAX,,,,,,,
CA,MADERA,KMAE,,,,,,,
CA,MAMMOTH/JUNE LAK,KMMH,,,,,,,
CA,MARYSVILLE,KMYV,,,,,,,
CA,MATHER FIELD,KMHR,,,,,,,
CA,MCCLELLAN AFB,KMCC,,,,,,,
CA,MERCED/CASTLE AF,KMER,,,,,,,
CA,MERCED,KMCE,,,,,,,
CA,MIRAMAR NAS/SAN,KNKX,,,,,,,
CA,MODESTO,KMOD,,,,,,,
CA,MOFFETT NAS/MTN,KNUQ,,,,,,,
CA,MOJAVE,KMHV,,,,,,,
CA,MONTAGUE/SISKIYO,KSIY,,,,,,,
CA,MONTEREY,KMRY,,,,,,,
CA,MOUNT SHASTA,KMHS,,,,,,,
CA,MOUNT WILSON,KMWS,,,,,,,
CA,MURRIETA/TEMECUL,KF70,,,,,,,
CA,NAPA,KAPC,,,,,,,
CA,NEEDLES,KEED,,,,,,,
CA,NEWHALL,K3A6,,,,,,,
CA,NORTH ISLAND NAS,KNZY,,,,,,,
CA,NOVATO/GNOSS FLD,KDVO,,,,,,,
CA,OAKLAND,KOAK,,,,,,,
CA,OCEANO CNTY,KL52,,,,,,,
CA,OCEANSIDE,KOKB,,,,,,,
CA,OCEANSIDE/RED-B,KNXF,,,,,,,
CA,ONTARIO,KONT,,,,,,,
CA,OROVILLE,KOVE,,,,,,,
CA,OXNARD,KOXR,,,,,,,
CA,PALMDALE,KGXA,,,,,,,
CA,PALMDALE,KPMD,,,,,,,
CA,PALM SPRINGS,KPSP,,,,,,,
CA,PALO ALTO,KPAO,,,,,,,
CA,PASO ROBLES,KPRB,,,,,,,
CA,PETALUMA,KO69,,,,,,,
CA,PLACERVILLE,KPVF,,,,,,,
CA,POINT MUGU NAS,KNTD,,,,,,,
CA,PORTERVILLE,KPTV,,,,,,,
CA,PT. PIEDRAS BLAN,K87Q,,,,,,,
CA,RAMONA,KRNM,,,,,,,
CA,RED BLUFF,KRBL,,,,,,,
CA,REDDING,KRDD,,,,,,,
CA,REDLANDS,KREI,,,,,,,
