OBJECTID,siteID,siteName,State,Latitude,Longitude,radarType,antennaElevation,owner,,,,,,,
62,KGSP,GREER,SC,34.883306,-82.219825,NEXRAD,"1,068",NWS,,,,,,,
63,KGWX,COLUMBUS AFB,MS,33.896917,-88.329186,NEXRAD,589,DOD,,,,,,,
64,KGYX,PORTLAND,ME,43.891306,-70.256351,NEXRAD,474,NWS,,,,,,,
65,KHDX,HOLLOMAN AFB,NM,33.077,-106.120024,NEXRAD,"4,269",DOD,,,,,,,
66,KHGX,HOUSTON,TX,29.471944,-95.078881,NEXRAD,115,NWS,,,,,,,
67,KHNX,SAN JOAQUIN VALY,CA,36.314167,-119.63213,NEXRAD,340,NWS,,,,,,,
68,KHPX,FT CAMPBELL,KY,36.736667,-87.284991,NEXRAD,624,DOD,,,,,,,
69,KHTX,HUNTSVILLE,AL,34.930556,-86.083603,NEXRAD,"1,859",NWS,,,,,,,
70,KICT,WICHITA,KS,37.654444,-97.443047,NEXRAD,"1,399",NWS,,,,,,,
71,KICX,CEDAR CITY (RDA 1),UT,37.59105,-112.862213,NEXRAD,"10,754",NWS,,,,,,,
72,KILN,CINCINNATI,OK,39.420278,-83.821658,NEXRAD,"1,170",NWS,,,,,,,
73,KILX,LINCOLN,IL,40.1505,-89.336783,NEXRAD,731,NWS,,,,,,,
74,KIND,INDIANAPOLIS,IN,39.7075,-86.280269,NEXRAD,887,NWS,,,,,,,
75,KINX,TULSA,OK,36.175,-95.56413,NEXRAD,749,NWS,,,,,,,
76,KIWA,PHOENIX,AR,33.289167,-111.669992,NEXRAD,"1,426",NWS,,,,,,,
77,KIWX,FORT WAYNE,IN,41.358611,-85.699991,NEXRAD,"1,056",NWS,,,,,,,
78,KJAX,JACKSONVILLE,FL,30.484633,-81.701892,NEXRAD,160,NWS,,,,,,,
79,KJGX,ROBINS AFB,GA,32.675,-83.351103,NEXRAD,618,DOD,,,,,,,
80,KJKL,JACKSON,KY,37.590833,-83.313047,NEXRAD,"1,461",NWS,,,,,,,
81,KLBB,LUBBOCK,TX,33.654139,-101.814159,NEXRAD,"3,377",NWS,,,,,,,
82,KLCH,LAKE CHARLES,LA,30.125306,-93.215881,NEXRAD,137,NWS,,,,,,,
83,KLGX,LANGLEY HILL,WA,47.116928,-124.106606,NEXRAD,354,NWS,,,,,,,
84,KLIX,SLIDELL,LA,30.336667,-89.825409,NEXRAD,179,NWS,,,,,,,
85,KLNX,NORTH PLATTE,NE,41.957944,-100.576212,NEXRAD,"3,112",NWS,,,,,,,
86,KLOT,CHICAGO,IL,41.604444,-88.084435,NEXRAD,760,NWS,,,,,,,
87,KLRX,ELKO (RDA 1),NV,40.739722,-116.802769,NEXRAD,"6,894",NWS,,,,,,,
88,KLSX,ST LOUIS,MO,38.698889,-90.682769,NEXRAD,722,NWS,,,,,,,
89,KLTX,WILMINGTON,NC,33.989167,-78.429159,NEXRAD,145,NWS,,,,,,,
90,KLVX,LOUISVILLE,KY,37.975278,-85.94388,NEXRAD,833,NWS,,,,,,,
91,KLWX,STERLING,VA,38.976111,-77.487491,NEXRAD,404,NWS,,,,,,,
92,KLZK,LITTLE ROCK,AR,34.836389,-92.261936,NEXRAD,649,NWS,,,,,,,
93,KMAF,MIDLAND/ODESSA,TX,31.943461,-102.189242,NEXRAD,"2,961",NWS,,,,,,,
94,KMAX,MEDFORD (RDA 1),OR,42.081111,-122.717352,NEXRAD,"7,559",NWS,,,,,,,
95,KMBX,MINOT AFB,ND,48.3925,-100.864433,NEXRAD,"1,590",DOD,,,,,,,
96,KMHX,MOREHEAD CITY,NC,34.775833,-76.876381,NEXRAD,145,NWS,,,,,,,
97,KMKX,MILWAUKEE,WI,42.967778,-88.550546,NEXRAD,"1,022",NWS,,,,,,,
98,KMLB,MELBOURNE,FL,28.113056,-80.654436,NEXRAD,116,NWS,,,,,,,
99,KMOB,MOBILE,AL,30.679444,-88.239714,NEXRAD,289,NWS,,,,,,,
100,KMPX,MINNEAPOLIS,MN,44.848889,-93.565518,NEXRAD,"1,101",NWS,,,,,,,
101,KMQT,MARQUETTE,MI,46.531111,-87.548323,NEXRAD,"1,524",NWS,,,,,,,
102,KMRX,KNOXVILLE,TX,36.168333,-83.401935,NEXRAD,"1,434",NWS,,,,,,,
103,KMSX,MISSOULA (RDA 1),MT,47.041111,-113.986101,NEXRAD,"7,976",NWS,,,,,,,
104,KMTX,SALT LAKE CITY (RDA 1),UT,41.262778,-112.447769,NEXRAD,"6,592",NWS,,,,,,,
105,KMUX,SAN FRANCISCO,CA,37.155222,-121.898435,NEXRAD,"3,549",NWS,,,,,,,
106,KMVX,FARGO/GRAND FORKS,ND,47.528056,-97.32499,NEXRAD,"1,083",NWS,,,,,,,
107,KMXX,MAXWELL AFB,AL,32.53665,-85.789741,NEXRAD,560,DOD,,,,,,,
108,KNKX,SAN DIEGO,CA,32.918889,-117.041936,NEXRAD,"1,052",NWS,,,,,,,
109,KNQA,MEMPHIS,TN,35.344722,-89.873324,NEXRAD,435,NWS,,,,,,,
110,KOAX,OMAHA,NE,41.320278,-96.366796,NEXRAD,"1,262",NWS,,,,,,,
111,KOHX,NASHVILLE,TN,36.247222,-86.562491,NEXRAD,676,NWS,,,,,,,
112,KOKX,UPTON,NY,40.865528,-72.863908,NEXRAD,199,NWS,,,,,,,
113,KOTX,SPOKANE,WA,47.680556,-117.625823,NEXRAD,"2,448",NWS,,,,,,,
114,KPAH,PADUCAH,KY,37.068333,-88.771935,NEXRAD,506,NWS,,,,,,,
115,KPBZ,PITTSBURGH,PA,40.531667,-80.217935,NEXRAD,"1,266",NWS,,,,,,,
116,KPDT,PENDLETON,OR,45.690556,-118.852907,NEXRAD,"1,579",NWS,,,,,,,
117,KPOE,FT POLK,LA,31.155278,-92.975825,NEXRAD,473,DOD,,,,,,,
118,KPUX,PUEBLO,CO,38.459444,-104.18138,NEXRAD,"5,362",NWS,,,,,,,
119,KRAX,RALEIGH/DURHAM,NC,35.665278,-78.489992,NEXRAD,462,NWS,,,,,,,
120,KRGX,RENO (RDA 1),NV,39.754056,-119.462019,NEXRAD,"8,394",NWS,,,,,,,
121,KRIW,RIVERTON/LANDER,WY,43.066111,-108.47729,NEXRAD,"5,631",NWS,,,,,,,
122,KRLX,CHARLESTON,WV,38.311111,-81.722769,NEXRAD,"1,213",NWS,,,,,,,
123,KRTX,PORTLAND,OR,45.715,-122.96499,NEXRAD,"1,728",NWS,,,,,,,
124,KSFX,POCATELLO,ID,43.1056,-112.686123,NEXRAD,"4,538",NWS,,,,,,,
125,KSGF,SPRINGFIELD,MO,37.235278,-93.400269,NEXRAD,"1,375",NWS,,,,,,,
126,KSHV,SHREVEPORT,LA,32.450833,-93.841242,NEXRAD,387,NWS,,,,,,,
127,KSJT,SAN ANGELO,TX,31.371111,-100.492214,NEXRAD,"2,003",NWS,,,,,,,
128,KSOX,SANTA ANA MTS,CA,33.817733,-117.635991,NEXRAD,"3,105",NWS,,,,,,,
129,KSRX,FORT SMITH,AR,35.290417,-94.36188,NEXRAD,737,NWS,,,,,,,
130,KTBW,TAMPA,FL,27.705278,-82.401936,NEXRAD,122,NWS,,,,,,,
131,KTFX,GREAT FALLS,MT,47.459722,-111.385268,NEXRAD,"3,804",NWS,,,,,,,
132,KTLH,TALLAHASSEE,FL,30.3975,-84.328881,NEXRAD,177,NWS,,,,,,,
133,KTLX,NORMAN,OK,35.333056,-97.277753,NEXRAD,"1,277",NWS,,,,,,,
134,KTWX,TOPEKA,KS,38.996944,-96.232491,NEXRAD,"1,415",NWS,,,,,,,
135,KTYX,MONTAGUE/FT DRUM,NY,43.755833,-75.67999,NEXRAD,"1,959",DOD,,,,,,,
136,KUDX,RAPID CITY,SD,44.124722,-102.82999,NEXRAD,"3,194",NWS,,,,,,,
137,KUEX,HASTINGS,NE,40.320833,-98.441935,NEXRAD,"2,057",NWS,,,,,,,
138,KVAX,MOODY AFB,GA,30.890278,-83.001798,NEXRAD,330,DOD,,,,,,,
139,KVBX,VANDENBERG AFB,CA,34.83855,-120.397909,NEXRAD,"1,354",DOD,,,,,,,
140,KVNX,VANCE AFB,OK,36.740833,-98.127491,NEXRAD,"1,258",DOD,,,,,,,
141,KVTX,LOS ANGELES,CA,34.411667,-119.178602,NEXRAD,"2,806",NWS,,,,,,,
142,KVWX,EVANSVILLE (NON-NEXRAD),IN,38.26025,-87.724519,NEXRAD,625,NWS,,,,,,,
143,KYUX,YUMA (RDA 1),AZ,32.495278,-114.656686,NEXRAD,239,NWS,,,,,,,
144,PABC,BETHEL FAA (RDA 1),AK,60.791944,-161.876375,NEXRAD,57,,,,,,,,
145,PACG,SITKA FAA (RDA 1),AK,56.852778,-135.529154,NEXRAD,82,,,,,,,,
146,PAEC,NOME FAA (RDA 1),AK,64.511389,-165.294984,NEXRAD,27,,,,,,,,
147,PAHG,ANCHORAGE FAA (RDA 1),AK,60.726389,-151.349153,NEXRAD,108,,,,,,,,
148,PAIH,MIDDLETON ISLAND (RDA 1),AK,59.461944,-146.301097,NEXRAD,40,,,,,,,,
149,PAKC,KING SALMON FAA (RDA 1),AK,58.679444,-156.629431,NEXRAD,43,,,,,,,,
150,PAPD,FAIRBANKS FAA (RDA 1),AK,65.035556,-147.499151,NEXRAD,825,,,,,,,,
151,PGUA,ANDERSEN AFB,GUAM,13.455833,144.811118,NEXRAD,117,,,,,,,,
152,PHKI,SOUTH KAUAI FAA (RDA 1),HI,21.893889,-159.552492,NEXRAD,103,,,,,,,,
153,PHKM,KAMUELA/KOHALA APT (RDA 1),HI,20.125278,-155.777771,NEXRAD,1208,,,,,,,,
154,PHMO,MOLOKAI FAA (RDA 1),HI,21.132778,-157.18027,NEXRAD,440,,,,,,,,
155,PHWA,SOUTH SHORE FAA (RDA 1),HI,19.095,-155.568881,NEXRAD,445,,,,,,,,
156,TADW,Andrews Air Force Base,MD,38.695,-76.845,TDWR,346,,,,,,,,
157,TATL,Atlanta,GA,33.647,-84.262,TDWR,1075,,,,,,,,
158,TBNA,Nashville,TN,35.98,-86.662,TDWR,817,,,,,,,,
159,TBOS,Boston,MA,42.158,-70.933,TDWR,264,,,,,,,,
160,TBWI,Baltimore/Wash,MD,39.09,-76.63,TDWR,297,,,,,,,,
